지역,확진일,확진자수
강동구,2021-02-17,8
강동구,2021-02-18,6
강동구,2021-02-19,4
강동구,2021-02-20,1
강동구,2021-02-21,5
강동구,2021-02-22,5
강동구,2021-02-23,2
강동구,2021-02-24,4
강동구,2021-02-25,4
강동구,2021-02-26,3
강동구,2021-02-27,7
강동구,2021-02-28,3
강동구,2021-03-01,11
강동구,2021-03-02,7
강동구,2021-03-03,10
강동구,2021-03-04,8
강동구,2021-03-05,3
강동구,2021-03-06,10
강동구,2021-03-07,11
강동구,2021-03-08,7
강동구,2021-03-09,5
강동구,2021-03-10,7
강동구,2021-03-11,14
강동구,2021-03-12,7
강동구,2021-03-13,7
강동구,2021-03-14,6
강동구,2021-03-15,3
강동구,2021-03-16,10
강동구,2021-03-17,8
강동구,2021-03-18,16
강동구,2021-03-19,11
강동구,2021-03-20,6
강동구,2021-03-21,6
강동구,2021-03-22,5
강동구,2021-03-23,13
강동구,2021-03-24,6
강동구,2021-03-25,10
강동구,2021-03-26,6
강동구,2021-03-27,12
강동구,2021-03-28,9
강동구,2021-03-29,6
강동구,2021-03-30,4
강동구,2021-03-31,8
강동구,2021-04-01,6
강동구,2021-04-02,1
강동구,2021-04-03,8
강동구,2021-04-04,1
강동구,2021-04-05,5
강동구,2021-04-06,10
강동구,2021-04-07,11
강동구,2021-04-08,4
강동구,2021-04-09,11
강동구,2021-04-10,3
강동구,2021-04-11,7
강동구,2021-04-12,7
강동구,2021-04-13,12
강동구,2021-04-14,9
강동구,2021-04-15,9
강동구,2021-04-16,16
강동구,2021-04-17,14
강동구,2021-04-18,2
강동구,2021-04-19,4
강동구,2021-04-20,9
강동구,2021-04-21,6
강동구,2021-04-22,13
강동구,2021-04-23,20
강동구,2021-04-24,9
강동구,2021-04-25,5
강동구,2021-04-26,13
강동구,2021-04-27,13
강동구,2021-04-28,8
강동구,2021-04-29,8
강동구,2021-04-30,9
강동구,2021-05-01,11
강동구,2021-05-02,3
강동구,2021-05-03,15
강동구,2021-05-04,8
강동구,2021-05-05,6
강동구,2021-05-06,6
강동구,2021-05-07,12
강동구,2021-05-08,5
강동구,2021-05-09,9
강동구,2021-05-10,6
강동구,2021-05-11,7
강동구,2021-05-12,17
강동구,2021-05-13,12
강동구,2021-05-14,7
강동구,2021-05-15,11
강동구,2021-05-16,17
강동구,2021-05-17,11
강동구,2021-05-18,13
강동구,2021-05-19,13
강동구,2021-05-20,10
강동구,2021-05-21,10
강동구,2021-05-22,16
강동구,2021-05-23,13
강동구,2021-05-24,13
강동구,2021-05-25,17
강동구,2021-05-26,16
강동구,2021-05-27,6
강동구,2021-05-28,7
강동구,2021-05-29,6
강동구,2021-05-30,7
강동구,2021-05-31,4
강동구,2021-06-01,14
강동구,2021-06-02,17
강동구,2021-06-03,20
강동구,2021-06-04,17
강동구,2021-06-05,7
강동구,2021-06-06,9
강동구,2021-06-07,10
강동구,2021-06-08,6
강동구,2021-06-09,7
강동구,2021-06-10,10
강동구,2021-06-11,5
강동구,2021-06-12,5
강동구,2021-06-13,7
강동구,2021-06-14,11
강동구,2021-06-15,8
강동구,2021-06-16,4
강동구,2021-06-17,9
강동구,2021-06-18,2
강동구,2021-06-19,4
강동구,2021-06-20,2
강동구,2021-06-21,4
강동구,2021-06-22,11
강동구,2021-06-23,12
강동구,2021-06-24,11
강동구,2021-06-25,16
강동구,2021-06-26,7
강동구,2021-06-27,5
강동구,2021-06-28,10
강동구,2021-06-29,17
강동구,2021-06-30,16
강동구,2021-07-01,9
강동구,2021-07-02,9
강동구,2021-07-03,8
강동구,2021-07-04,4
강동구,2021-07-05,7
강북구,2020-03-04,2
강북구,2020-03-06,2
강북구,2020-03-12,1
강북구,2020-05-10,1
강북구,2020-05-11,1
강북구,2020-05-13,1
강북구,2020-05-19,1
강북구,2020-05-23,1
강북구,2020-05-24,2
강북구,2020-05-27,1
강북구,2020-05-28,1
강북구,2020-06-02,2
강북구,2020-06-03,1
강북구,2020-06-05,1
강북구,2020-06-06,1
강북구,2020-06-07,1
강북구,2020-06-12,2
강북구,2020-06-13,1
강북구,2020-06-18,1
강북구,2020-07-15,1
강북구,2020-07-27,1
강북구,2020-07-28,2
강북구,2020-08-11,1
강북구,2020-08-13,1
강북구,2020-08-15,9
강북구,2020-08-16,3
강북구,2020-08-17,8
강북구,2020-08-18,8
강북구,2020-08-19,9
강북구,2020-08-20,2
강북구,2020-08-21,6
강북구,2020-08-22,4
강북구,2020-08-23,2
강북구,2020-08-24,2
강북구,2020-08-25,5
강북구,2020-08-27,7
강북구,2020-08-28,4
강북구,2020-08-29,3
강북구,2020-08-30,4
강북구,2020-08-31,7
강북구,2020-09-01,6
강북구,2020-09-02,2
강북구,2020-09-05,2
강북구,2020-09-06,1
강북구,2020-09-07,2
강북구,2020-09-08,1
강북구,2020-09-09,1
강북구,2020-09-10,3
강북구,2020-09-12,2
강북구,2020-09-13,1
강북구,2020-09-14,3
강북구,2020-09-16,4
강북구,2020-09-21,1
강북구,2020-09-23,1
강북구,2020-09-28,1
강북구,2020-10-02,1
강북구,2020-10-04,3
강북구,2020-10-05,1
강북구,2020-10-06,2
강북구,2020-10-09,1
강북구,2020-10-10,3
강북구,2020-10-16,1
강북구,2020-10-29,3
강북구,2020-11-07,2
강북구,2020-11-13,2
강북구,2020-11-15,2
강북구,2020-11-16,1
강북구,2020-11-17,1
강북구,2020-11-18,1
강북구,2020-11-19,3
강북구,2020-11-20,1
강북구,2020-11-21,2
강북구,2020-11-22,1
강북구,2020-11-24,4
강북구,2020-11-25,5
강북구,2020-11-26,1
강북구,2020-11-27,1
강북구,2020-11-28,2
강북구,2020-11-29,8
강북구,2020-11-30,4
강북구,2020-12-01,2
강북구,2020-12-02,2
강북구,2020-12-03,5
강북구,2020-12-04,3
강북구,2020-12-05,3
강북구,2020-12-06,9
강북구,2020-12-07,4
강북구,2020-12-08,5
강북구,2020-12-09,8
강북구,2020-12-10,3
강북구,2020-12-11,10
강북구,2020-12-12,4
강북구,2020-12-13,7
강북구,2020-12-14,12
강북구,2020-12-15,14
강북구,2020-12-16,17
강북구,2020-12-17,16
강북구,2020-12-18,3
강북구,2020-12-19,10
강북구,2020-12-20,8
강북구,2020-12-21,6
강북구,2020-12-22,8
강북구,2020-12-23,9
강북구,2020-12-24,6
강북구,2020-12-25,7
강북구,2020-12-26,8
강북구,2020-12-27,11
강북구,2020-12-28,11
강북구,2020-12-29,14
강북구,2020-12-30,8
강북구,2020-12-31,12
강북구,2021-01-01,15
강북구,2021-01-02,18
강북구,2021-01-03,14
강북구,2021-01-04,16
강북구,2021-01-05,8
